t_s,z_true_m,z_raw_tof,z_mov_avg_10,z_lp_iir_085,z_complementary_098,z_kf1_1state,z_kf1_2state,z_kf1_3state,z_kalman9D_fw
1.215,1.0,0.996435,0.997989,0.998868,1.00095,0.997802,0.998385,0.998672,0.998844
1.22,1.0,0.996168,0.997295,0.998463,1.000847,0.996855,0.997734,0.99805,0.998602
1.225,1.0,0.996168,0.997295,0.998463,1.000838,0.996855,0.997684,0.99802,0.998588
1.23,1.0,0.996168,0.997295,0.998463,1.000828,0.996855,0.997634,0.997991,0.998575
1.235,1.0,0.996168,0.997295,0.998463,1.000818,0.996855,0.997584,0.997961,0.998562
1.24,1.0,0.997963,0.997792,0.998388,1.000752,0.997497,0.997657,0.997938,0.998497
1.245,1.0,0.997963,0.997792,0.998388,1.000741,0.997497,0.997612,0.997908,0.998483
1.25,1.0,0.997963,0.997792,0.998388,1.00073,0.997497,0.997568,0.997877,0.998469
1.255,1.0,0.997963,0.997792,0.998388,1.000719,0.997497,0.997523,0.997846,0.998456
1.26,1.0,0.994208,0.99834,0.997761,1.000577,0.99559,0.996543,0.996928,0.998076
1.265,1.0,0.994208,0.99834,0.997761,1.000563,0.99559,0.996459,0.996865,0.998057
1.27,1.0,0.994208,0.99834,0.997761,1.000549,0.99559,0.996375,0.996801,0.998039
1.275,1.0,0.994208,0.99834,0.997761,1.000536,0.99559,0.996291,0.996736,0.998022
1.28,1.0,0.989722,0.997697,0.996555,1.000308,0.992188,0.994352,0.994961,0.997291
1.285,1.0,0.989722,0.997697,0.996555,1.000291,0.992188,0.994191,0.994834,0.997268
1.29,1.0,0.989722,0.997697,0.996555,1.000273,0.992188,0.99403,0.994706,0.997244
1.295,1.0,0.989722,0.997697,0.996555,1.000256,0.992188,0.993868,0.994575,0.99722
1.3,1.0,0.994294,0.99663,0.996216,1.00012,0.993409,0.993875,0.994407,0.996946
1.305,1.0,0.994294,0.99663,0.996216,1.000101,0.993409,0.993721,0.994272,0.99692
1.31,1.0,0.994294,0.99663,0.996216,1.000083,0.993409,0.993567,0.994135,0.996895
1.315,1.0,0.994294,0.99663,0.996216,1.000063,0.993409,0.993412,0.993996,0.99687
1.32,1.0,0.996344,0.996595,0.996235,0.99997,0.995111,0.994141,0.994468,0.996801
1.325,1.0,0.996344,0.996595,0.996235,0.999949,0.995111,0.994024,0.994348,0.996775
1.33,1.0,0.996344,0.996595,0.996235,0.999927,0.995111,0.993906,0.994226,0.996749
1.335,1.0,0.996344,0.996595,0.996235,0.999907,0.995111,0.993789,0.994103,0.996723
1.34,1.0,1.001587,0.996629,0.997038,0.999919,0.998866,0.995936,0.995851,0.997117
1.345,1.0,1.001587,0.996629,0.997038,0.9999,0.998866,0.995913,0.995792,0.997096
1.35,1.0,1.001587,0.996629,0.997038,0.99988,0.998866,0.99589,0.995732,0.997075
1.355,1.0,1.001587,0.996629,0.997038,0.99986,0.998866,0.995868,0.995672,0.997054
1.36,1.0,0.996551,0.996265,0.996965,0.999774,0.997524,0.996047,0.995842,0.996991
