t_s,roll_madgwick,roll_mahony,roll_simple_kf,roll_ekf,roll_ekf9state,roll_complementary,roll_lowpass,roll_highpass
0.665,2.3181,14.4232,18.3451,29.7558,30.5549,27.9615,29.3059,0.0173
0.67,2.3339,14.4942,18.5078,29.7103,30.5445,27.9815,29.2653,0.0159
0.675,2.3489,14.5665,18.6747,29.6969,30.5429,28.0103,29.3042,0.0138
0.68,2.3661,14.6474,18.8588,29.771,30.5704,28.0683,29.5442,0.0139
0.685,2.3809,14.7257,19.0403,29.8422,30.5963,28.124,29.7579,0.0115
0.69,2.3938,14.7923,19.1962,29.787,30.5815,28.1375,29.6453,0.0072
0.695,2.4106,14.8531,19.3327,29.6216,30.5333,28.1162,29.2626,0.0068
0.7,2.4257,14.9362,19.5259,29.7726,30.5817,28.1943,29.691,0.0048
0.705,2.4412,15.0106,19.697,29.8033,30.5945,28.2348,29.7821,0.0032
0.71,2.4616,15.091,19.8755,29.8552,30.6176,28.2852,29.9049,0.0064
0.715,2.4816,15.1699,20.0508,29.8939,30.6369,28.3312,29.9855,0.0093
0.72,2.503,15.2486,20.2233,29.9156,30.652,28.3724,30.015,0.0136
0.725,2.5162,15.3251,20.4028,30.0113,30.6848,28.4318,30.2437,0.0095
0.73,2.5336,15.396,20.5616,29.9832,30.6831,28.4544,30.1392,0.0098
0.735,2.5553,15.4732,20.7297,29.9925,30.6953,28.4911,30.1282,0.0143
0.74,2.5706,15.5382,20.8767,29.9255,30.6791,28.498,29.9482,0.0124
0.745,2.5885,15.6065,21.0278,29.8782,30.6696,28.5116,29.8271,0.0132
0.75,2.6078,15.6756,21.1786,29.8319,30.6605,28.5252,29.7166,0.0153
0.755,2.6233,15.7343,21.3086,29.7047,30.6228,28.5087,29.4262,0.0137
0.76,2.6395,15.8025,21.4618,29.703,30.6224,28.5314,29.4661,0.0127
0.765,2.6549,15.8682,21.6094,29.6816,30.6153,28.5467,29.4534,0.0109
0.77,2.6707,15.938,21.7666,29.7122,30.624,28.5785,29.5656,0.0096
0.775,2.6867,15.9956,21.8919,29.5894,30.586,28.5603,29.2895,0.0085
0.78,2.6985,16.0651,22.0545,29.6777,30.608,28.6061,29.5632,0.003
0.785,2.7171,16.1386,22.2163,29.7358,30.6268,28.6474,29.7192,0.0045
0.79,2.739,16.2216,22.3973,29.8754,30.6737,28.7181,30.0529,0.0093
0.795,2.7532,16.2789,22.5232,29.7777,30.6446,28.7073,29.7937,0.0064
0.8,2.7688,16.3469,22.6746,29.8079,30.6539,28.7376,29.869,0.0048
0.805,2.791,16.4191,22.8259,29.816,30.6614,28.7651,29.8678,0.01
0.81,2.8107,16.4912,22.9808,29.8568,30.6768,28.8011,29.9544,0.0124
0.815,2.8268,16.5585,23.1284,29.8793,30.6849,28.8289,29.997,0.0114
0.82,2.842,16.6248,23.2748,29.9036,30.693,28.8565,30.0435,0.0095
0.825,2.8582,16.6917,23.4206,29.9263,30.7015,28.8842,30.0802,0.0085
0.83,2.8735,16.7594,23.5697,29.9717,30.7165,28.9186,30.1726,0.0066
0.835,2.884,16.8182,23.7027,29.9621,30.7122,28.932,30.1341,-0.0
0.84,2.9028,16.8848,23.8424,29.9597,30.7157,28.9529,30.0988,0.0016
0.845,2.9203,16.9558,23.9955,30.0297,30.7398,28.9962,30.2485,0.002
0.85,2.938,17.0225,24.1366,30.0457,30.7486,29.0224,30.2537,0.0025
0.855,2.9601,17.0902,24.2724,30.0259,30.7501,29.0397,30.1626,0.0074
0.86,2.9769,17.1521,24.4008,29.9976,30.7449,29.05,30.0734,0.0071
0.865,2.9945,17.2194,24.5428,30.0369,30.7596,29.082,30.1574,0.0075
0.87,3.0121,17.2852,24.6797,30.0556,30.7688,29.1076,30.1841,0.008
0.875,3.0303,17.3513,24.8165,30.0769,30.7792,29.1342,30.2146,0.009
0.88,3.045,17.4139,24.9494,30.0973,30.787,29.158,30.2495,0.0065
0.885,3.0651,17.4781,25.0762,30.0751,30.7865,29.1716,30.1655,0.0095
0.89,3.0786,17.5358,25.1967,30.0549,30.7813,29.1806,30.1109,0.0058
0.895,3.0943,17.5976,25.3245,30.0667,30.7867,29.201,30.1348,0.0044
0.9,3.1097,17.6551,25.4403,30.0296,30.7777,29.205,30.0377,0.0027
0.905,3.1236,17.7154,25.566,30.0508,30.7839,29.2262,30.0961,-0.0006
0.91,3.1413,17.7828,25.7046,30.1201,30.8069,29.2657,30.2576,-0.0001
0.915,3.1557,17.8333,25.8013,30.0154,30.7785,29.2467,29.9871,-0.0028
0.92,3.1727,17.8917,25.9148,29.9876,30.7725,29.253,29.9232,-0.0028
0.925,3.1884,17.9542,26.0423,30.034,30.786,29.2818,30.0498,-0.0044
0.93,3.2027,18.0253,26.1959,30.2045,30.8347,29.3506,30.4716,-0.0072
0.935,3.2213,18.0968,26.3424,30.3245,30.8743,29.4078,30.7221,-0.0058
0.94,3.2382,18.1554,26.4546,30.2976,30.8726,29.4173,30.5969,-0.006
0.945,3.2576,18.2163,26.5687,30.2777,30.8741,29.4299,30.4984,-0.0037
0.95,3.2747,18.2665,26.656,30.1542,30.8443,29.4065,30.1629,-0.0038
0.955,3.2924,18.326,26.7683,30.1507,30.8469,29.4207,30.152,-0.0032
0.96,3.3086,18.3788,26.8639,30.0851,30.8309,29.4133,29.9933,-0.0042
0.965,3.3258,18.4372,26.9735,30.0861,30.8332,29.4271,30.0094,-0.0041
0.97,3.3426,18.4985,27.0914,30.13,30.847,29.4543,30.1293,-0.0045
