t_s,x_true_m,y_true_m,z_true_m,x_ekf_m,y_ekf_m,z_ekf_m,xy_error_m
5.335,-0.2703,0.3892,1.0004,-0.2226,0.4099,1.0003,0.0154
5.34,-0.2695,0.3892,1.0005,-0.2221,0.4099,1.0003,0.0155
5.345,-0.2686,0.3893,1.0005,-0.2214,0.41,1.0001,0.0157
5.35,-0.2678,0.3893,1.0006,-0.2208,0.41,1.0001,0.0158
5.355,-0.267,0.3894,1.0006,-0.2203,0.4099,1.0002,0.0161
5.36,-0.2662,0.3894,1.0007,-0.2199,0.4099,1.0002,0.0163
5.365,-0.2654,0.3895,1.0007,-0.2195,0.4098,1.0006,0.0166
5.37,-0.2645,0.3895,1.0008,-0.2191,0.4099,1.0005,0.017
5.375,-0.2637,0.3895,1.0008,-0.2186,0.4098,1.0006,0.0173
5.38,-0.2629,0.3896,1.0008,-0.2183,0.4099,1.0007,0.0177
5.385,-0.2621,0.3896,1.0009,-0.218,0.4099,1.0009,0.0182
5.39,-0.2613,0.3897,1.0009,-0.2176,0.4098,1.0009,0.0186
5.395,-0.2605,0.3897,1.001,-0.217,0.4099,1.0009,0.0191
5.4,-0.2597,0.3898,1.001,-0.2165,0.4098,1.0011,0.0196
5.405,-0.2589,0.3898,1.001,-0.2161,0.4098,1.0008,0.0201
5.41,-0.2581,0.3899,1.0011,-0.2156,0.4097,1.001,0.0206
5.415,-0.2573,0.3899,1.0011,-0.2151,0.4097,1.0012,0.0211
5.42,-0.2565,0.39,1.0011,-0.2146,0.4098,1.0012,0.0217
5.425,-0.2557,0.39,1.0011,-0.2141,0.4099,1.0013,0.0223
5.43,-0.255,0.3901,1.0011,-0.2138,0.4101,1.0011,0.0228
5.435,-0.2542,0.3901,1.0012,-0.2133,0.4102,1.0013,0.0234
5.44,-0.2534,0.3902,1.0012,-0.2127,0.4101,1.0011,0.024
5.445,-0.2526,0.3902,1.0012,-0.2124,0.41,1.0009,0.0246
5.45,-0.2519,0.3903,1.0012,-0.2119,0.4102,1.0009,0.0252
5.455,-0.2511,0.3903,1.0012,-0.2114,0.4102,1.0009,0.0259
5.46,-0.2503,0.3904,1.0012,-0.2109,0.4101,1.001,0.0265
5.465,-0.2496,0.3904,1.0012,-0.2104,0.4103,1.0013,0.0271
5.47,-0.2488,0.3905,1.0012,-0.2101,0.4104,1.0014,0.0278
5.475,-0.2481,0.3905,1.0012,-0.2097,0.4104,1.0014,0.0284
5.48,-0.2473,0.3906,1.0012,-0.2092,0.4104,1.0014,0.029
5.485,-0.2466,0.3907,1.0011,-0.2088,0.4105,1.0015,0.0297
5.49,-0.2458,0.3907,1.0011,-0.2084,0.4105,1.0012,0.0303
5.495,-0.2451,0.3908,1.0011,-0.2079,0.4107,1.0012,0.031
5.5,-0.2443,0.3908,1.0011,-0.2074,0.4107,1.0013,0.0316
5.505,-0.2436,0.3909,1.0011,-0.2069,0.4109,1.0011,0.0323
5.51,-0.2429,0.3909,1.001,-0.2063,0.4112,1.0012,0.0329
5.515,-0.2422,0.391,1.001,-0.2057,0.4112,1.0012,0.0336
5.52,-0.2414,0.391,1.001,-0.2053,0.4112,1.0012,0.0342
5.525,-0.2407,0.3911,1.0009,-0.2047,0.4114,1.0012,0.0349
5.53,-0.24,0.3912,1.0009,-0.2042,0.4115,1.0013,0.0355
5.535,-0.2393,0.3912,1.0009,-0.2038,0.4115,1.0011,0.0361
5.54,-0.2386,0.3913,1.0008,-0.2035,0.4117,1.0011,0.0368
5.545,-0.2379,0.3913,1.0008,-0.203,0.4118,1.001,0.0374
5.55,-0.2372,0.3914,1.0007,-0.2027,0.412,1.001,0.0381
5.555,-0.2365,0.3914,1.0007,-0.2022,0.4119,1.0008,0.0387
5.56,-0.2358,0.3915,1.0006,-0.2016,0.4121,1.0009,0.0394
5.565,-0.2351,0.3916,1.0006,-0.2012,0.412,1.0009,0.04
5.57,-0.2345,0.3916,1.0005,-0.201,0.4122,1.0009,0.0406
5.575,-0.2338,0.3917,1.0005,-0.2006,0.4121,1.0007,0.0413
5.58,-0.2331,0.3917,1.0004,-0.2004,0.4122,1.0005,0.0419
5.585,-0.2324,0.3918,1.0004,-0.2001,0.4123,1.0008,0.0425
5.59,-0.2318,0.3919,1.0003,-0.1995,0.4123,1.0009,0.0432
5.595,-0.2311,0.3919,1.0003,-0.1992,0.4122,1.0006,0.0438
5.6,-0.2305,0.392,1.0002,-0.1987,0.4124,1.0006,0.0444
5.605,-0.2298,0.3921,1.0002,-0.1983,0.4124,1.0004,0.045
5.61,-0.2292,0.3921,1.0001,-0.1977,0.4126,1.0004,0.0456
5.615,-0.2286,0.3922,1.0001,-0.1973,0.4128,1.0006,0.0462
5.62,-0.2279,0.3923,1.0,-0.1969,0.413,1.0006,0.0468
5.625,-0.2273,0.3923,1.0,-0.1964,0.4131,1.0006,0.0474
5.63,-0.2267,0.3924,0.9999,-0.1958,0.4132,1.0005,0.048
5.635,-0.2261,0.3924,0.9999,-0.1953,0.4134,1.0006,0.0486
5.64,-0.2254,0.3925,0.9998,-0.1949,0.4136,1.0003,0.0492
5.645,-0.2248,0.3926,0.9998,-0.1945,0.4134,1.0,0.0498
5.65,-0.2242,0.3926,0.9997,-0.1943,0.4134,0.9997,0.0504
5.655,-0.2236,0.3927,0.9997,-0.194,0.4134,0.9998,0.051
5.66,-0.223,0.3928,0.9996,-0.1936,0.4136,0.9998,0.0516
5.665,-0.2224,0.3929,0.9996,-0.1932,0.4136,0.9999,0.0521
5.67,-0.2219,0.3929,0.9996,-0.1929,0.4136,0.9998,0.0527
5.675,-0.2213,0.393,0.9995,-0.1924,0.4134,0.9999,0.0533
5.68,-0.2207,0.3931,0.9995,-0.1921,0.4134,0.9997,0.0538
5.685,-0.2201,0.3931,0.9994,-0.1916,0.4133,0.9998,0.0544
5.69,-0.2196,0.3932,0.9994,-0.1912,0.4131,0.9998,0.0549
5.695,-0.219,0.3933,0.9994,-0.1908,0.413,1.0,0.0555
5.7,-0.2185,0.3933,0.9994,-0.1904,0.4128,1.0002,0.056
5.705,-0.2179,0.3934,0.9993,-0.1899,0.413,1.0003,0.0566
5.71,-0.2174,0.3935,0.9993,-0.1896,0.413,1.0,0.0571
5.715,-0.2169,0.3936,0.9993,-0.1891,0.413,1.0,0.0576
5.72,-0.2163,0.3936,0.9993,-0.1887,0.4129,0.9999,0.0581
5.725,-0.2158,0.3937,0.9992,-0.1884,0.413,0.9998,0.0587
5.73,-0.2153,0.3938,0.9992,-0.1881,0.413,0.9997,0.0592
5.735,-0.2148,0.3939,0.9992,-0.1878,0.4131,0.9997,0.0597
5.74,-0.2143,0.3939,0.9992,-0.1874,0.4132,0.9998,0.0602
5.745,-0.2138,0.394,0.9992,-0.1868,0.4133,0.9998,0.0607
5.75,-0.2133,0.3941,0.9992,-0.1865,0.4135,0.9999,0.0612
5.755,-0.2128,0.3941,0.9992,-0.1862,0.4138,0.9998,0.0617
5.76,-0.2123,0.3942,0.9992,-0.1858,0.4141,0.9996,0.0621
5.765,-0.2118,0.3943,0.9992,-0.1855,0.4142,0.9994,0.0626
5.77,-0.2113,0.3944,0.9992,-0.1851,0.4141,0.9992,0.0631
5.775,-0.2109,0.3944,0.9992,-0.1848,0.414,0.9991,0.0636
5.78,-0.2104,0.3945,0.9992,-0.1847,0.4139,0.9992,0.064
5.785,-0.2099,0.3946,0.9992,-0.1845,0.4139,0.9994,0.0645
5.79,-0.2095,0.3947,0.9993,-0.1843,0.4137,0.9996,0.0649
5.795,-0.209,0.3947,0.9993,-0.184,0.4138,0.9994,0.0654
5.8,-0.2086,0.3948,0.9993,-0.1839,0.4137,0.9993,0.0658
5.805,-0.2082,0.3949,0.9993,-0.1836,0.4137,0.9994,0.0663
5.81,-0.2077,0.395,0.9993,-0.1832,0.4136,0.9994,0.0667
5.815,-0.2073,0.395,0.9993,-0.1827,0.4135,0.9992,0.0671
5.82,-0.2069,0.3951,0.9994,-0.1824,0.4136,0.9992,0.0675
5.825,-0.2065,0.3952,0.9994,-0.1821,0.4138,0.9993,0.068
5.83,-0.2061,0.3953,0.9994,-0.1817,0.414,0.9991,0.0684
5.835,-0.2057,0.3954,0.9994,-0.1815,0.4141,0.9991,0.0688
5.84,-0.2053,0.3954,0.9995,-0.1811,0.4142,0.9991,0.0692
5.845,-0.2049,0.3955,0.9995,-0.1809,0.4143,0.9993,0.0696
5.85,-0.2045,0.3956,0.9995,-0.1805,0.4142,0.9993,0.0699
5.855,-0.2041,0.3957,0.9995,-0.1801,0.4141,0.999,0.0703
5.86,-0.2038,0.3957,0.9995,-0.1798,0.4142,0.9987,0.0707
5.865,-0.2034,0.3958,0.9996,-0.1795,0.4142,0.9989,0.0711
5.87,-0.203,0.3959,0.9996,-0.1791,0.4142,0.9989,0.0714
5.875,-0.2027,0.396,0.9996,-0.1788,0.4143,0.999,0.0718
5.88,-0.2024,0.396,0.9996,-0.1786,0.4143,0.999,0.0721
5.885,-0.202,0.3961,0.9997,-0.1783,0.4143,0.9995,0.0725
5.89,-0.2017,0.3962,0.9997,-0.1779,0.4144,0.9995,0.0728
5.895,-0.2014,0.3963,0.9997,-0.1776,0.4146,0.9996,0.0732
5.9,-0.201,0.3963,0.9997,-0.1773,0.4148,0.9994,0.0735
5.905,-0.2007,0.3964,0.9997,-0.1771,0.4149,0.9995,0.0738
5.91,-0.2004,0.3965,0.9997,-0.1769,0.4148,0.9996,0.0741
5.915,-0.2001,0.3966,0.9997,-0.1768,0.4149,0.9994,0.0744
5.92,-0.1998,0.3966,0.9997,-0.1765,0.4149,0.9993,0.0748
5.925,-0.1995,0.3967,0.9997,-0.1763,0.415,0.9995,0.0751
5.93,-0.1992,0.3968,0.9997,-0.1761,0.415,0.9998,0.0753
5.935,-0.1989,0.3969,0.9997,-0.1759,0.415,0.9998,0.0756
5.94,-0.1987,0.397,0.9997,-0.1756,0.4152,0.9996,0.0759
5.945,-0.1984,0.397,0.9997,-0.1753,0.4154,0.9997,0.0762
5.95,-0.1981,0.3971,0.9997,-0.1751,0.4155,0.9997,0.0765
5.955,-0.1979,0.3972,0.9997,-0.1747,0.4156,0.9996,0.0767
5.96,-0.1976,0.3973,0.9997,-0.1743,0.4157,0.9995,0.077
5.965,-0.1974,0.3973,0.9996,-0.1742,0.4156,0.9996,0.0773
5.97,-0.1972,0.3974,0.9996,-0.174,0.4157,0.9996,0.0775
5.975,-0.1969,0.3975,0.9996,-0.1737,0.4156,0.9998,0.0777
5.98,-0.1967,0.3976,0.9995,-0.1734,0.4156,0.9999,0.078
5.985,-0.1965,0.3976,0.9995,-0.1732,0.4156,1.0002,0.0782
5.99,-0.1963,0.3977,0.9994,-0.173,0.4157,1.0,0.0784
5.995,-0.196,0.3978,0.9994,-0.1727,0.4159,1.0001,0.0787
6.0,-0.1958,0.3978,0.9993,-0.1724,0.416,1.0003,0.0789
6.005,-0.1956,0.3979,0.9993,-0.1723,0.4158,1.0002,0.0791
6.01,-0.1955,0.398,0.9992,-0.172,0.4158,1.0003,0.0793
6.015,-0.1953,0.3981,0.9992,-0.1718,0.4156,1.0002,0.0795
6.02,-0.1951,0.3981,0.9991,-0.1717,0.4157,1.0004,0.0797
6.025,-0.1949,0.3982,0.999,-0.1715,0.4157,1.0003,0.0799
6.03,-0.1948,0.3983,0.9989,-0.1713,0.4161,1.0003,0.0801
6.035,-0.1946,0.3984,0.9989,-0.1713,0.4161,1.0002,0.0802
6.04,-0.1944,0.3984,0.9988,-0.1712,0.4163,1.0005,0.0804
6.045,-0.1943,0.3985,0.9987,-0.1709,0.4164,1.0006,0.0806
6.05,-0.1941,0.3986,0.9986,-0.1709,0.4165,1.0005,0.0807
6.055,-0.194,0.3986,0.9985,-0.1708,0.4165,1.0004,0.0809
6.06,-0.1939,0.3987,0.9984,-0.1706,0.4166,1.0006,0.081
6.065,-0.1937,0.3988,0.9983,-0.1705,0.4168,1.0009,0.0812
6.07,-0.1936,0.3989,0.9982,-0.1703,0.4168,1.001,0.0813
6.075,-0.1935,0.3989,0.9981,-0.1703,0.4169,1.0008,0.0814
6.08,-0.1934,0.399,0.998,-0.1704,0.417,1.0007,0.0816
6.085,-0.1933,0.3991,0.9979,-0.1704,0.4171,1.0007,0.0817
6.09,-0.1932,0.3991,0.9978,-0.1702,0.4171,1.0003,0.0818
6.095,-0.1931,0.3992,0.9977,-0.17,0.4172,1.0,0.0819
6.1,-0.193,0.3993,0.9976,-0.1697,0.4172,0.9998,0.082
6.105,-0.1929,0.3993,0.9975,-0.1697,0.4173,0.9998,0.0821
6.11,-0.1929,0.3994,0.9974,-0.1696,0.4174,0.9995,0.0822
6.115,-0.1928,0.3995,0.9972,-0.1696,0.4176,0.9994,0.0823
6.12,-0.1927,0.3996,0.9971,-0.1696,0.4176,0.9994,0.0824
6.125,-0.1927,0.3996,0.997,-0.1693,0.4175,0.9993,0.0824
6.13,-0.1926,0.3997,0.9969,-0.1691,0.4174,0.9991,0.0825
6.135,-0.1926,0.3998,0.9968,-0.1689,0.4177,0.9987,0.0826
6.14,-0.1925,0.3998,0.9967,-0.1688,0.4177,0.9987,0.0826
6.145,-0.1925,0.3999,0.9966,-0.1684,0.4178,0.9985,0.0827
6.15,-0.1925,0.4,0.9965,-0.1684,0.4178,0.9985,0.0827
6.155,-0.1925,0.4,0.9964,-0.1684,0.4177,0.9984,0.0828
6.16,-0.1925,0.4001,0.9963,-0.1685,0.4179,0.9984,0.0828
6.165,-0.1924,0.4002,0.9962,-0.1683,0.4179,0.9983,0.0828
6.17,-0.1924,0.4002,0.9961,-0.1683,0.4181,0.9981,0.0829
6.175,-0.1924,0.4003,0.996,-0.1683,0.4182,0.9982,0.0829
6.18,-0.1924,0.4004,0.9959,-0.1684,0.4182,0.9979,0.0829
6.185,-0.1925,0.4004,0.9958,-0.1684,0.4183,0.9978,0.0829
6.19,-0.1925,0.4005,0.9957,-0.1684,0.4186,0.9976,0.0829
6.195,-0.1925,0.4006,0.9957,-0.1683,0.4188,0.9975,0.0829
6.2,-0.1925,0.4006,0.9956,-0.1685,0.4187,0.9974,0.0829
6.205,-0.1926,0.4007,0.9955,-0.1685,0.4188,0.9973,0.0829
6.21,-0.1926,0.4007,0.9955,-0.1685,0.4188,0.997,0.0829
6.215,-0.1927,0.4008,0.9954,-0.1685,0.4187,0.997,0.0828
6.22,-0.1927,0.4009,0.9954,-0.1685,0.4186,0.9968,0.0828
6.225,-0.1928,0.4009,0.9953,-0.1685,0.4186,0.997,0.0828
6.23,-0.1928,0.401,0.9953,-0.1685,0.4185,0.9968,0.0827
6.235,-0.1929,0.4011,0.9953,-0.1685,0.4185,0.9964,0.0827
6.24,-0.193,0.4011,0.9953,-0.1687,0.4185,0.9962,0.0826
6.245,-0.1931,0.4012,0.9953,-0.1686,0.4187,0.996,0.0826
6.25,-0.1932,0.4012,0.9953,-0.1687,0.4189,0.9959,0.0825
6.255,-0.1933,0.4013,0.9953,-0.1686,0.4193,0.9958,0.0824
6.26,-0.1934,0.4014,0.9953,-0.1688,0.4194,0.9958,0.0824
6.265,-0.1935,0.4014,0.9954,-0.1688,0.4195,0.996,0.0823
6.27,-0.1936,0.4015,0.9954,-0.1687,0.4197,0.9961,0.0822
6.275,-0.1937,0.4015,0.9954,-0.1689,0.4198,0.996,0.0821
6.28,-0.1938,0.4016,0.9955,-0.1688,0.4197,0.9961,0.082
6.285,-0.194,0.4017,0.9956,-0.169,0.4195,0.996,0.0819
6.29,-0.1941,0.4017,0.9956,-0.1689,0.4194,0.996,0.0818
6.295,-0.1942,0.4018,0.9957,-0.1689,0.4192,0.9956,0.0817
6.3,-0.1944,0.4018,0.9958,-0.1688,0.419,0.9958,0.0816
6.305,-0.1945,0.4019,0.9959,-0.1688,0.4189,0.9958,0.0814
6.31,-0.1947,0.402,0.996,-0.1688,0.4187,0.9958,0.0813
6.315,-0.1948,0.402,0.9961,-0.1688,0.4184,0.996,0.0812
6.32,-0.195,0.4021,0.9962,-0.1689,0.4184,0.9957,0.081
6.325,-0.1952,0.4021,0.9964,-0.1691,0.4184,0.9957,0.0809
6.33,-0.1954,0.4022,0.9965,-0.1692,0.4185,0.9957,0.0808
6.335,-0.1956,0.4022,0.9966,-0.1693,0.4187,0.9954,0.0806
6.34,-0.1957,0.4023,0.9968,-0.1695,0.4189,0.9952,0.0804
6.345,-0.1959,0.4023,0.9969,-0.1697,0.4189,0.9952,0.0803
6.35,-0.1961,0.4024,0.9971,-0.1697,0.419,0.9953,0.0801
6.355,-0.1963,0.4024,0.9972,-0.17,0.4193,0.9955,0.0799
6.36,-0.1965,0.4025,0.9974,-0.17,0.4194,0.9956,0.0798
6.365,-0.1968,0.4025,0.9975,-0.1701,0.4197,0.9956,0.0796
6.37,-0.197,0.4026,0.9977,-0.1703,0.4199,0.9957,0.0794
6.375,-0.1972,0.4026,0.9979,-0.1704,0.42,0.9956,0.0792
6.38,-0.1974,0.4027,0.998,-0.1706,0.42,0.9956,0.079
6.385,-0.1977,0.4027,0.9982,-0.1707,0.42,0.996,0.0788
6.39,-0.1979,0.4028,0.9984,-0.1708,0.42,0.9961,0.0786
6.395,-0.1981,0.4028,0.9985,-0.171,0.4198,0.996,0.0784
6.4,-0.1984,0.4029,0.9987,-0.1712,0.4199,0.9961,0.0782
6.405,-0.1987,0.4029,0.9989,-0.1715,0.4197,0.9962,0.078
6.41,-0.1989,0.403,0.9991,-0.1716,0.4195,0.9966,0.0777
6.415,-0.1992,0.403,0.9992,-0.172,0.4192,0.9966,0.0775
6.42,-0.1994,0.403,0.9994,-0.1724,0.4191,0.9973,0.0773
6.425,-0.1997,0.4031,0.9996,-0.1727,0.419,0.9977,0.077
6.43,-0.2,0.4031,0.9997,-0.1729,0.4191,0.9977,0.0768
6.435,-0.2003,0.4032,0.9999,-0.1732,0.4192,0.9979,0.0766
6.44,-0.2006,0.4032,1.0001,-0.1734,0.4192,0.9983,0.0763
6.445,-0.2009,0.4033,1.0002,-0.1737,0.4194,0.9985,0.0761
6.45,-0.2011,0.4033,1.0004,-0.1737,0.4194,0.9987,0.0758
6.455,-0.2014,0.4033,1.0005,-0.1737,0.4195,0.9989,0.0755
6.46,-0.2018,0.4034,1.0007,-0.1737,0.4195,0.9988,0.0753
6.465,-0.2021,0.4034,1.0008,-0.1737,0.4196,0.999,0.075
6.47,-0.2024,0.4034,1.0009,-0.1739,0.4195,0.999,0.0747
6.475,-0.2027,0.4035,1.0011,-0.174,0.4194,0.9993,0.0745
6.48,-0.203,0.4035,1.0012,-0.174,0.4195,0.9998,0.0742
6.485,-0.2033,0.4035,1.0013,-0.1743,0.4194,0.9998,0.0739
6.49,-0.2037,0.4036,1.0014,-0.1743,0.4193,0.9999,0.0736
6.495,-0.204,0.4036,1.0015,-0.1743,0.4193,1.0002,0.0733
6.5,-0.2044,0.4036,1.0016,-0.1745,0.4193,1.0004,0.073
6.505,-0.2047,0.4037,1.0016,-0.1746,0.4193,1.0005,0.0727
6.51,-0.205,0.4037,1.0017,-0.1747,0.4193,1.0006,0.0724
6.515,-0.2054,0.4037,1.0018,-0.1748,0.4192,1.0007,0.0721
6.52,-0.2057,0.4038,1.0018,-0.1749,0.4191,1.0007,0.0718
6.525,-0.2061,0.4038,1.0019,-0.1752,0.4192,1.0008,0.0715
6.53,-0.2065,0.4038,1.0019,-0.1754,0.4192,1.0011,0.0711
6.535,-0.2068,0.4038,1.0019,-0.1756,0.4192,1.001,0.0708
6.54,-0.2072,0.4039,1.002,-0.1761,0.4192,1.0014,0.0705
6.545,-0.2076,0.4039,1.002,-0.1764,0.4192,1.0016,0.0702
6.55,-0.208,0.4039,1.002,-0.1767,0.4191,1.0016,0.0698
6.555,-0.2083,0.4039,1.002,-0.1769,0.419,1.0018,0.0695
6.56,-0.2087,0.404,1.002,-0.1774,0.419,1.0017,0.0692
6.565,-0.2091,0.404,1.002,-0.1777,0.4187,1.0016,0.0688
6.57,-0.2095,0.404,1.0019,-0.1781,0.4187,1.0016,0.0685
6.575,-0.2099,0.404,1.0019,-0.1784,0.4187,1.0016,0.0681
6.58,-0.2103,0.404,1.0019,-0.1787,0.4187,1.0017,0.0678
6.585,-0.2107,0.4041,1.0018,-0.1789,0.4184,1.0016,0.0674
6.59,-0.2111,0.4041,1.0018,-0.1792,0.4182,1.0014,0.0671
6.595,-0.2115,0.4041,1.0017,-0.1793,0.4182,1.0014,0.0667
6.6,-0.2119,0.4041,1.0017,-0.1796,0.4181,1.0014,0.0664
6.605,-0.2124,0.4041,1.0016,-0.18,0.4182,1.0015,0.066
6.61,-0.2128,0.4041,1.0016,-0.1803,0.4181,1.001,0.0656
6.615,-0.2132,0.4042,1.0015,-0.1805,0.4181,1.0009,0.0653
6.62,-0.2136,0.4042,1.0015,-0.1808,0.418,1.0011,0.0649
6.625,-0.2141,0.4042,1.0014,-0.181,0.4182,1.0009,0.0645
6.63,-0.2145,0.4042,1.0013,-0.1813,0.4183,1.0011,0.0641
6.635,-0.2149,0.4042,1.0013,-0.1818,0.4183,1.0011,0.0637
6.64,-0.2154,0.4042,1.0012,-0.1821,0.4182,1.0008,0.0634
6.645,-0.2158,0.4042,1.0011,-0.1825,0.4182,1.001,0.063
6.65,-0.2163,0.4042,1.0011,-0.1828,0.4182,1.001,0.0626
6.655,-0.2167,0.4042,1.001,-0.1832,0.418,1.0009,0.0622
6.66,-0.2172,0.4042,1.001,-0.1835,0.418,1.0011,0.0618
6.665,-0.2177,0.4042,1.0009,-0.1838,0.4178,1.0012,0.0614
6.67,-0.2181,0.4042,1.0009,-0.1841,0.4176,1.001,0.061
6.675,-0.2186,0.4042,1.0008,-0.1845,0.4176,1.0007,0.0606
6.68,-0.2191,0.4042,1.0008,-0.185,0.4178,1.0007,0.0602
6.685,-0.2195,0.4042,1.0007,-0.1855,0.4178,1.0005,0.0598
6.69,-0.22,0.4042,1.0007,-0.186,0.4178,1.0006,0.0594
6.695,-0.2205,0.4042,1.0006,-0.1864,0.4179,1.0005,0.0589
6.7,-0.221,0.4042,1.0006,-0.1866,0.4179,1.0002,0.0585
6.705,-0.2215,0.4042,1.0006,-0.1869,0.418,1.0003,0.0581
6.71,-0.222,0.4042,1.0006,-0.1872,0.4182,1.0002,0.0577
6.715,-0.2224,0.4042,1.0005,-0.1876,0.4182,1.0001,0.0573
6.72,-0.2229,0.4042,1.0005,-0.1879,0.4184,1.0,0.0568
6.725,-0.2234,0.4042,1.0005,-0.1882,0.4184,1.0003,0.0564
6.73,-0.224,0.4041,1.0005,-0.1886,0.4185,1.0001,0.056
6.735,-0.2245,0.4041,1.0005,-0.1889,0.4186,1.0004,0.0555
6.74,-0.225,0.4041,1.0006,-0.1893,0.4186,1.0007,0.0551
6.745,-0.2255,0.4041,1.0006,-0.1897,0.4185,1.001,0.0547
6.75,-0.226,0.4041,1.0006,-0.1902,0.4184,1.0007,0.0542
6.755,-0.2265,0.4041,1.0006,-0.1907,0.4183,1.0007,0.0538
6.76,-0.227,0.4041,1.0006,-0.191,0.4184,1.0003,0.0533
6.765,-0.2276,0.404,1.0007,-0.1915,0.4184,1.0006,0.0529
6.77,-0.2281,0.404,1.0007,-0.1919,0.4184,1.0004,0.0525
6.775,-0.2286,0.404,1.0008,-0.1923,0.4184,1.0003,0.052
6.78,-0.2292,0.404,1.0008,-0.1928,0.4182,1.0005,0.0516
6.785,-0.2297,0.404,1.0009,-0.1932,0.4181,1.0004,0.0511
6.79,-0.2302,0.4039,1.0009,-0.1936,0.4181,1.0001,0.0507
6.795,-0.2308,0.4039,1.001,-0.194,0.4182,0.9998,0.0502
6.8,-0.2313,0.4039,1.001,-0.1943,0.418,0.9998,0.0498
6.805,-0.2319,0.4038,1.0011,-0.1948,0.418,1.0,0.0493
6.81,-0.2324,0.4038,1.0012,-0.1952,0.4178,1.0,0.0489
6.815,-0.233,0.4038,1.0012,-0.1957,0.4179,0.9999,0.0484
6.82,-0.2335,0.4038,1.0013,-0.1959,0.418,1.0,0.048
6.825,-0.2341,0.4037,1.0014,-0.1961,0.418,0.9999,0.0475
6.83,-0.2347,0.4037,1.0014,-0.1964,0.4182,1.0002,0.047
6.835,-0.2352,0.4037,1.0015,-0.1967,0.4182,1.0001,0.0466
6.84,-0.2358,0.4036,1.0016,-0.1971,0.4182,0.9999,0.0461
6.845,-0.2364,0.4036,1.0017,-0.1973,0.4182,0.9997,0.0457
6.85,-0.2369,0.4036,1.0017,-0.1978,0.4181,0.9998,0.0452
6.855,-0.2375,0.4035,1.0018,-0.1983,0.4181,0.9998,0.0448
6.86,-0.2381,0.4035,1.0019,-0.1986,0.4179,1.0,0.0443
6.865,-0.2387,0.4034,1.002,-0.1991,0.4179,1.0,0.0438
6.87,-0.2392,0.4034,1.002,-0.1994,0.4179,1.0001,0.0434
6.875,-0.2398,0.4034,1.0021,-0.2,0.4178,1.0002,0.0429
6.88,-0.2404,0.4033,1.0022,-0.2007,0.4176,1.0004,0.0425
6.885,-0.241,0.4033,1.0023,-0.2012,0.4175,1.0007,0.042
6.89,-0.2416,0.4032,1.0024,-0.2019,0.4175,1.0008,0.0416
6.895,-0.2422,0.4032,1.0024,-0.2025,0.4175,1.0008,0.0411
6.9,-0.2428,0.4031,1.0025,-0.2033,0.4175,1.0008,0.0407
6.905,-0.2434,0.4031,1.0026,-0.2039,0.4175,1.0007,0.0402
6.91,-0.244,0.403,1.0026,-0.2043,0.4174,1.0008,0.0398
6.915,-0.2446,0.403,1.0027,-0.2048,0.4173,1.0011,0.0394
6.92,-0.2452,0.4029,1.0028,-0.2052,0.4173,1.0009,0.0389
6.925,-0.2458,0.4029,1.0028,-0.2056,0.4174,1.0011,0.0385
6.93,-0.2464,0.4028,1.0029,-0.2058,0.4173,1.001,0.038
6.935,-0.247,0.4028,1.003,-0.2061,0.4173,1.0011,0.0376
6.94,-0.2476,0.4027,1.003,-0.2062,0.4174,1.0012,0.0372
6.945,-0.2482,0.4027,1.0031,-0.2065,0.4174,1.0013,0.0368
6.95,-0.2488,0.4026,1.0031,-0.2069,0.4171,1.0015,0.0363
6.955,-0.2494,0.4025,1.0032,-0.2074,0.4171,1.0016,0.0359
6.96,-0.2501,0.4025,1.0032,-0.2079,0.417,1.0018,0.0355
6.965,-0.2507,0.4024,1.0032,-0.2083,0.417,1.0019,0.0351
6.97,-0.2513,0.4024,1.0033,-0.2088,0.417,1.0023,0.0347
6.975,-0.2519,0.4023,1.0033,-0.2091,0.4169,1.0023,0.0343
6.98,-0.2525,0.4022,1.0033,-0.2095,0.4169,1.0025,0.0339
6.985,-0.2532,0.4022,1.0034,-0.21,0.417,1.0028,0.0335
6.99,-0.2538,0.4021,1.0034,-0.2105,0.417,1.0029,0.0331
6.995,-0.2544,0.402,1.0034,-0.2109,0.4172,1.0032,0.0327
7.0,-0.2551,0.402,1.0034,-0.2114,0.4172,1.0033,0.0324
7.005,-0.2557,0.4019,1.0034,-0.212,0.4172,1.0032,0.032
7.01,-0.2563,0.4018,1.0034,-0.2124,0.4172,1.0031,0.0316
7.015,-0.2569,0.4018,1.0034,-0.2128,0.417,1.003,0.0313
7.02,-0.2576,0.4017,1.0034,-0.2131,0.417,1.0028,0.0309
7.025,-0.2582,0.4016,1.0033,-0.2135,0.4169,1.003,0.0306
7.03,-0.2589,0.4015,1.0033,-0.2141,0.4167,1.0028,0.0303
7.035,-0.2595,0.4015,1.0033,-0.2146,0.4166,1.0029,0.03
7.04,-0.2601,0.4014,1.0033,-0.2151,0.4164,1.0032,0.0297
7.045,-0.2608,0.4013,1.0032,-0.2157,0.4162,1.0032,0.0294
7.05,-0.2614,0.4013,1.0032,-0.2162,0.4161,1.0032,0.0291
7.055,-0.262,0.4012,1.0031,-0.2167,0.416,1.0033,0.0288
7.06,-0.2627,0.4011,1.0031,-0.2172,0.416,1.0034,0.0285
