run,call_num,context,mp_risk,mp_full_response,mp_ms,yolo_full_response,yolo_ms,total_pipeline_ms,error,orchestrator,scene_label,truth
4,0,patrol,hazard,person detected; conf=0.391; risk=hazard,37.4,YOLO detections: none,228.1,265.5,,claude,person_far,caution
5,0,patrol,hazard,person detected; conf=0.391; risk=hazard,34.6,YOLO detections: none,232.3,266.9,,claude,person_far,caution
1,0,patrol,hazard,no person detected; risk=hazard,38.1,YOLO detections: none,232.0,270.1,,claude,blocked_lens,hazard
2,0,patrol,hazard,no person detected; risk=hazard,27.4,YOLO detections: none,232.0,259.4,,claude,blocked_lens,hazard
3,0,patrol,hazard,no person detected; risk=hazard,36.4,YOLO detections: none,225.4,261.8,,claude,blocked_lens,hazard
4,0,patrol,hazard,no person detected; risk=hazard,34.4,YOLO detections: none,283.7,318.1,,claude,blocked_lens,hazard
5,0,patrol,hazard,no person detected; risk=hazard,36.5,YOLO detections: none,211.6,248.1,,claude,blocked_lens,hazard
1,0,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,29.2,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",218.0,247.2,,gpt4o,person_near,hazard
2,0,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,36.4,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",217.9,254.3,,gpt4o,person_near,hazard
3,0,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,29.0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",221.5,250.5,,gpt4o,person_near,hazard
4,0,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,27.5,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",224.6,252.1,,gpt4o,person_near,hazard
5,0,patrol,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,36.8,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",199.5,236.3,,gpt4o,person_near,hazard
1,0,patrol,hazard,no person detected; risk=hazard,32.4,"YOLO detections: wall (conf=0.54, depth_m=2.09m [DA v2], src=YOLO-W, bbox=[0.4,0.1,319.8,239.7])",209.5,241.9,,gpt4o,wall_close,hazard
2,0,patrol,hazard,no person detected; risk=hazard,38.0,"YOLO detections: wall (conf=0.54, depth_m=2.09m [DA v2], src=YOLO-W, bbox=[0.4,0.1,319.8,239.7])",227.5,265.5,,gpt4o,wall_close,hazard
3,0,patrol,hazard,no person detected; risk=hazard,36.1,"YOLO detections: wall (conf=0.54, depth_m=2.09m [DA v2], src=YOLO-W, bbox=[0.4,0.1,319.8,239.7])",214.4,250.5,,gpt4o,wall_close,hazard
4,0,patrol,hazard,no person detected; risk=hazard,26.5,"YOLO detections: wall (conf=0.54, depth_m=2.09m [DA v2], src=YOLO-W, bbox=[0.4,0.1,319.8,239.7])",203.9,230.4,,gpt4o,wall_close,hazard
5,0,patrol,hazard,no person detected; risk=hazard,35.6,"YOLO detections: wall (conf=0.54, depth_m=2.09m [DA v2], src=YOLO-W, bbox=[0.4,0.1,319.8,239.7])",220.1,255.7,,gpt4o,wall_close,hazard
1,0,patrol,safe,no person detected; risk=safe,38.0,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])",228.8,266.8,,gpt4o,object_table,caution
2,0,patrol,safe,no person detected; risk=safe,38.0,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])",205.5,243.5,,gpt4o,object_table,caution
3,0,patrol,safe,no person detected; risk=safe,39.1,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])",202.9,242.0,,gpt4o,object_table,caution
4,0,patrol,safe,no person detected; risk=safe,37.7,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])",208.6,246.3,,gpt4o,object_table,caution
5,0,patrol,safe,no person detected; risk=safe,30.6,"YOLO detections: shelf (conf=0.19, depth_m=2.53m [DA v2], src=YOLO-W, bbox=[276.2,49.1,320.0,176.3])",218.5,249.1,,gpt4o,object_table,caution
1,0,patrol,safe,no person detected; risk=safe,38.5,"YOLO detections: wall (conf=0.33, depth_m=0.42m [DA v2], src=YOLO-W, bbox=[0.5,0.2,319.7,239.9])",207.2,245.7,,gpt4o,dim_light,caution
2,0,patrol,safe,no person detected; risk=safe,29.1,"YOLO detections: wall (conf=0.33, depth_m=0.42m [DA v2], src=YOLO-W, bbox=[0.5,0.2,319.7,239.9])",209.2,238.3,,gpt4o,dim_light,caution
3,0,patrol,safe,no person detected; risk=safe,35.9,"YOLO detections: wall (conf=0.33, depth_m=0.42m [DA v2], src=YOLO-W, bbox=[0.5,0.2,319.7,239.9])",210.8,246.7,,gpt4o,dim_light,caution
4,0,patrol,safe,no person detected; risk=safe,40.9,"YOLO detections: wall (conf=0.33, depth_m=0.42m [DA v2], src=YOLO-W, bbox=[0.5,0.2,319.7,239.9])",209.6,250.5,,gpt4o,dim_light,caution
5,0,patrol,safe,no person detected; risk=safe,38.5,"YOLO detections: wall (conf=0.33, depth_m=0.42m [DA v2], src=YOLO-W, bbox=[0.5,0.2,319.7,239.9])",213.5,252.0,,gpt4o,dim_light,caution
1,0,patrol,safe,no person detected; risk=safe,33.9,"YOLO detections: wall (conf=0.23, depth_m=4.03m [DA v2], src=YOLO-W, bbox=[0.2,0.8,319.4,237.4])",214.0,247.9,,gpt4o,cluttered,caution
