run,call_num,context,mp_risk,mp_full_response,mp_ms,yolo_full_response,yolo_ms,total_pipeline_ms,error,orchestrator,scenario,scene_label
1,7,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,29.2,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",217.5,246.7,,gpt4o_mini,alert_room,person_near
1,8,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,35.0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",208.3,243.3,,gpt4o_mini,alert_room,person_near
1,9,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,33.0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",219.8,252.8,,gpt4o_mini,alert_room,person_near
1,10,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,19.6,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",225.3,244.9,,gpt4o_mini,alert_room,person_near
1,11,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,46.2,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",205.3,251.5,,gpt4o_mini,alert_room,person_near
1,12,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,36.3,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",223.2,259.5,,gpt4o_mini,alert_room,person_near
1,13,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,45.4,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",205.5,250.9,,gpt4o_mini,alert_room,person_near
1,14,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,30.7,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",225.3,256.0,,gpt4o_mini,alert_room,person_near
1,15,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,39.2,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",217.5,256.7,,gpt4o_mini,alert_room,person_near
1,16,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,29.8,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",210.7,240.5,,gpt4o_mini,alert_room,person_near
