run,call_num,context,mp_risk,mp_full_response,mp_ms,yolo_full_response,yolo_ms,total_pipeline_ms,error,orchestrator,scenario,scene_label
5,1,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,30.4,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",210.5,240.9,,gpt4o_mini,alert_room,person_near
5,2,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,26.6,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",207.9,234.5,,gpt4o_mini,alert_room,person_near
5,3,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,55.2,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",206.3,261.5,,gpt4o_mini,alert_room,person_near
5,4,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,41.0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",205.6,246.6,,gpt4o_mini,alert_room,person_near
5,5,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,29.5,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",214.5,244.0,,gpt4o_mini,alert_room,person_near
5,6,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,39.8,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",209.0,248.8,,gpt4o_mini,alert_room,person_near
5,7,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,26.0,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",220.7,246.7,,gpt4o_mini,alert_room,person_near
5,8,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,29.5,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",199.1,228.6,,gpt4o_mini,alert_room,person_near
5,9,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,39.4,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",199.7,239.1,,gpt4o_mini,alert_room,person_near
5,10,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,29.3,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",191.4,220.7,,gpt4o_mini,alert_room,person_near
5,11,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,35.1,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",216.1,251.2,,gpt4o_mini,alert_room,person_near
5,12,investigate,hazard,person detected; conf=0.455; est_dist=0.24m; risk=hazard,31.7,"YOLO detections: wall (conf=0.28, depth_m=0.45m [DA v2], src=YOLO-W, bbox=[0.3,0.7,319.0,236.4])",211.2,242.9,,gpt4o_mini,alert_room,person_near
